Soil property,Method,Unit,Control,Low nitrogen
Available N,Alkaline permanganate (Subbiah and Asija 1956),kg ha-1,220.62,155.17
Available P2O5,Olsen et al. (1982),kg ha-1,96.06,67.19
Available K2O,Flame photometry (Toth and Prince 1949),kg ha-1,162.42,113.15
Organic carbon,Rapid colorimetry (Datta et al. 1962),%,0.69,0.58
pH,1:2.5 soil:water,,7.29,7.20
Electrical conductivity,1:2.5 soil:water,dS m-1,0.24,0.22
